Country,Official and national Languages
Albania,Albanian
Andorra,Catalan
Austria,German/Slovene/Croatian/Hungarian
Belarus,Belarusian/Russian
Belgium,Dutch/French/German
Bosnia & Herzegovina,Bosnian/Croatian/Serbian
Bulgaria,Bulgarian
Croatia,Croatian
Cyprus,Greek/Turkish/English
Czech Republic,Czech
Denmark,Danish
Estonia,Estonian
Faroe Islands,Faroese/Danish
Finland,Finnish/Swedish
France,French
Germany,German
Gibraltar,English
Greece,Greek
Greenland,Greenlandic Inuktitut/Danish
Hungary,Hungarian
Iceland,Icelandic
Ireland,Irish/English
Italy,Italian
Latvia,Latvian
Liechtenstein,German
Lithuania,Lithuanian
Luxembourg,Luxembourgish/French/German
Macedonia (Rep. of),Macedonia/Albanian
Malta,Maltese
Moldova,Moldovan
Monaco,French
Montenegro,Serbo-Croatian
Netherlands,Dutch/Frisian
Norway,Norwegian
Poland,Polish
Portugal,Portuguese
Romania,Romanian
Russian Federation,Russian
San Marino,Italian
Serbia,Serbian/Albanian
Slovakia,Slovak
Slovenia,Slovenian
Spain,Spanish/Catalan/Galician/Basque
Sweden,Swedish
Switzerland,German/French/Italian/Romansch
Turkey,Turkish
Ukraine,Ukrainian
United Kingdom,English
Vatican City State,Latin/Italian
