,,,,,,
CourseName,Location,DateFrom,DateTo,Attendees,,
Risk Assessment (Pest),lisbon;Portugal,2015-01-12,2015-01-16,1,,
Organic Farming,Bristol,2015-01-19,2015-01-22,2,,
Prevention Control and Eradication of Transmissible Spongiform Encephalopathies,Ljubljana;Slovenia,2015-01-20,2015-01-23,2,,
Contingency Planning,Padua,2015-01-26,2015-01-30,2,,
HACCP,Rome,2015-02-02,2015-02-06,2,,
Food Hygiene and Flexibility,Parma,2015-02-08,2015-02-13,1,,
Risk Assessment (Animal Health),Lisbon,2015-02-08,2015-02-12,1,,
Plant Health Risks,Munich,2015-02-09,2015-02-12,1,,
Plant Protection Products,Lisbon,2015-02-16,2015-02-19,2,,
Food Hygiene at Primary Production (Plants),Murcia,2015-02-16,2015-02-20,2,,
Risk Assessment (GMO),Lisbon,2015-02-23,2015-02-27,1,,
Audit,Amsterdam,2015-02-23,2015-02-27,1,,
Semen Embryos and Ova,Venice,2015-02-23,2015-02-27,1,,
Food Additives,Athens,2015-02-23,2015-02-27,2,,
Organic Farming,Warsaw,2015-03-02,2015-03-05,2,,
Risk Assessment (Microbiological),Berlin,2015-03-02,2015-03-06,1,,
HACCP,Lyon,2015-03-02,2015-03-06,4,,
Animal identification registration and traceability,Lyon,2015-03-02,2015-03-06,1,,
Animal Health and Disease Prevention for Bees and Zoo Animals,Antwerp,2015-03-08,2015-03-13,1,,
Food Hygiene and Flexibility,Graz,2015-03-08,2015-03-13,1,,
Audit ,Barcelona,2015-03-09,2015-03-13,2,,
Risk Assessment (Environment),Rome,2015-03-16,2015-03-20,1,,
Food Hygiene at Primary Production (Land Animals), Budapest,2015-03-16,2015-03-20,1,,
RASFF,Madrid,2015-03-23,2015-03-26,1,,
Contingency Planning,Padua,2015-03-23,2015-03-27,1,,
Microbiological Criteria,Lisbon,2015-03-23,2015-03-27,1,,
Food Composition and Information,Athens,2015-03-23,2015-03-27,1,,
Control on Contaminants in Feed and Food,Berlin,2015-03-24,2015-03-27,3,,
